"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"Hillcrest","Jacksonville","FL","Jacksonville","Duval County",458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92500,87500,87500,96400,109900,105000,105500,105000,99999.5,110000,110000,113900,100700,111450,115000
"Bemiss","Spokane","WA","Spokane-Spokane Valley","Spokane County",459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62450,64400,64000,62450,68500,69900,67950,69900,69950,71750,69975,69700,68500,68000,66500,64000,75300,84500,84900,82900,84500,79700,88450,89450,90000,89000,84000,84900,89500,84500,89450,89900,99000,93700,92500,94500,92500,90000,98900,99900,99900,107250,107900,109000,109725,109500,111000,110000,106000,105500,104500,107500,120376.5,124900,119975,119950,122475,124355.5,124950,124950,124950,125975,124900,129500,139315,129500,137500,137500,139900,139450,129000,128500,125000
"West Woodlawn","Chicago","IL","Chicago-Naperville-Elgin","Cook County",460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63700,75000,75000,75000,75000,79000,84950,85000,89000,84950,85000,85000,90000,92250,89900
"9th Ward Area","Wilmington","DE","Philadelphia-Camden-Wilmington","New Castle County",461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80000,77450,74900,64936,69900,75000,88000,85192,82384,72900,70000,69900,74950,77000,79900,68900,69950,79900,79900,72500,79900,77450,74900,74900,65500,65000,70000,74900,66400,61400,70000,70000,70000,79900,70000,68500,79900,74950,74950,77450,79900,79900,82200,80000,76196.5,72500,80000,79900,77500,80000,89900,91950,94900
"City Center","North Miami Beach","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",462,,,,,,,,,,,,,,,,,,,,,,,,,,,,64000,55000,59950,59900,59900,59900,58000,55000,55000,59900,59949.5,60999.5,71000,72000,69900,67450,65000,69500,69500,72000,74959,72250,72000,79000,74900,79000,79000,79900,79900,79900,79900,79900,80000,82000,83944,85000,80000,80000,82450,80000,80000,80000,84888,95500,98500,99500,99750,99750,1e+05,104950,104950,110000,106500,104900,105000,108999.5,108000,104900,110000,115000,113500,114450,115500,113900,112400,112400,117770,117770,118000,118000,120000,125000,120000,119000,111500,113000,112500,115000,117384.5
"Fairlawn","Pawtucket","RI","Providence-Warwick","Providence County",463,145400,145900,149900,164900,149900,159900,139900,159900,159900,159900,159900,159000,159000,146950,146000,139000,146000,139900,139000,139900,132450,129900,129400,129900,128000,123000,119900,117500,119000,120000,132000,129900,129900,129700,129900,129900,129900,119900,130000,130000,132250,134900,134900,133900,134400,125000,124900,124900,128500,126700,128500,134900,129900,138500,140000,144950,139900,133450,138250,134900,134900,131775,129900,134900,139000,135000,144500,149900,149900,157200,149900,149900,144700,149900,155800,150000,150000,148500,152400,150450,150000,151000,167500,168950,164900,170000,174000,179900,179900,179900,189000,179000,179000,185000,189900,196500,214900,209900,199900,199900,209900,194900,189000,189450,189000,187900
"Near Southside","Indianapolis","IN","Indianapolis-Carmel-Anderson","Marion County",464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65000,60000,59000,62000,69000,65000,65000,59900,65000,67450,70000,70000,75000,76500,78000,76000
"Charlotte","Rochester","NY","Rochester","Monroe County",465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89900,87900,85900,84900,84900,84900,83700,84900,82900,83900,84900,87000,85000,84950,79900,84900,83700,85000,79900,79900,79950,79900,89900,94900,94900,94900,92900,84950,85000
"Fairview","Anchorage","AK","Anchorage","Anchorage Borough",466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168000,177450,175000,180000,184950,158450,172500,167000,169000,170500,173500,172500,172500,165000,159925,155000,165000,167000,159900,157450,157400,164700,163700,163700,161250,159900,164000,159900,150000,150000,159700,155250
"Cavalier Manor","Portsmouth","VA","Virginia Beach-Norfolk-Newport News","Portsmouth City",467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99999,98800,98900,99999.5,103500,104000,109900,102800,107450,99999.5,107450,107450,105000,99900,109900,108000,110000,114900,113900,109950,109900,112000,110000,122000,124000,121000,122000,119950,117400,124900,113690,110950,112500,110250,98300,99900,112450,114900,117700,115500,115000,114950,114450,115200,115200,118000,115900,118900,115950,112000,122900,139900,132450,119900,123900,124999
